fund_code,isin,fund_name
DDA,TRYDNZP00397,DENİZ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON) - TRYDNZP00397
DDF,TRYDNZP00199,DENİZ PORTFÖY DİNAMO HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)
DFI,TRYATLP00143,ATLAS PORTFOY SERBEST FON - TRYATLP00143
DOH,TRYTRPY00165,TERA PORTFOY DORDUNCU HISSE SENEDI SERBEST (TL) FON (HISSE SENEDI YOGUN FON) - TRYTRPY00165
GO9,TRYGRIP00181,ONE PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)
HGV,TRYHDFP00284,HEDEF PORTFOY BIRINCI SERBEST FON  - TRYHDFP00284
HKM,TRYHDFP00482,HEDEF PORTFOY BASAK HISSE SENEDI SERBEST (TL) FON (HISSE SENEDI YOGUN FON) - TRYHDFP00482
HRZ,TRYMKFT00463,AKTİF PORTFÖY BIST HALKA ARZ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
IVY,TRYISTP00281,ISTANBUL PORTFOY BLOCKCHAIN TEKNOLOJILERI KARMA FON - TRYISTP00281
KHA,TRYA1PY00305,PARDUS PORTFOY YONETIMI AS IKINCI HISSE SENEDI (TL) FONU (HISSE SENEDI YOGUN FON) - TRYA1PY00305
KHJ,TRYATLP00283,ATLAS PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)
MTH,TRYMTPY00026,MT PORTFOY BIRINCI HISSE SENEDI FONU (HISSE SENEDI YOGUN FON) - TRYMTPY00026
OMG,TRYAZIM01398,AZİMUT PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)
PBN,TRYPRMT00095,PIRAMIT PORTFOY BIRINCI HISSE SENEDI SERBEST FON (HISSE SENEDI YOGUN FON) - TRYPRMT00095
PBR,TRYPSLP00036,PUSULA PORTFOY BIRINCI DEGISKEN FON - TRYPSLP00036
PHE,TRYPSLP00010,PUSULA PORTFOY HISSE SENEDI FONU (HISSE SENEDI YOGUN FON) - TRYPSLP00010
PMP,TRYA1PY00644,PARDUS PORTFOY MODEL PORTFOY HISSE SENEDI SERBEST FON (HISSE SENEDI YOGUN FON) - TRYA1PY00644
POS,TRYA1PY00487,PARDUS PORTFOY YONETIMI AS ONBESINCI HISSE SENEDI SERBET (TL) FON (HISSE SENEDI YOGUN FON) - TRYA1PY
SBH,TRYSPRT00019,SPARTA PORTFOY BIRINCI HISSE SENEDI SERBEST (TL) FON (HISSE SENEDI YOGUN FON) - TRYSPRT00019
THF,TRYTRPY00140,TERA PORTFOY HISSE SENEDI (TL) FONU (HISSE SENEDI YOGUN FON) - TRYTRPY00140
TLY,TRYTRPY00025,TERA PORTFOY YONETIMI AS BIRINCI SERBEST FON - TRYTRPY00025
VPS,TRYVEGA00036,VEGA PORTFOY SALUR HISSE SENEDI SERBEST (TL) FON (HISSE SENEDI YOGUN FON)  - TRYVEGA00036
FRC,TRYFNVP00086,FONMAP PORTFOY BIRINCI HISSE SENEDI SERBEST FON (HISSE SENEDI YOGUN FON) - TRYFNVP00086
ADP,TRMADFWWWWW1,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
AK3,TRMAK3WWWWW3,AK PORTFOY HISSE SENEDI (TL) FONU (HISSE SENEDI YOGUN FON) - TRMAK3WWWWW3
AKU,TRMAKUWWWWW5,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
BIH,TRYA1PY00198,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
ICH,TRYA1PY00313,PARDUS PORTFÖY İKİNCİ DEĞİŞKEN FON
HVS,TRYHSBC00016,HSBC PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
IIH,TRYISTP00109,İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)
NNF,TRYHDFP00060,HEDEF PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
TI2,TRMTI2WWWWW8,İŞ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
TYH,TRMTYHWWWWW3,TEB PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)
TZD,TRMTZDWWWWW9,ZİRAAT PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)
