change_date,fund_code,unit_price,investor_count,total_fund_value
2026-04-24,ADP,1.369433,22546,4281497435.99
2026-04-24,MTH,1.902317,4979,756585669.91
2026-04-24,KHJ,1.197996,517,15575537.58
2026-04-24,KHA,3.389817,18630,1827903270.58
2026-04-24,NNF,22.372709,22385,3129975574.44
2026-04-24,OMG,1.735670,696,1246228398.66
2026-04-24,PBN,1.363485,961,492900241.84
2026-04-24,PBR,3.767848,32425,12917381002.60
2026-04-24,PHE,2.821820,87891,35833877736.48
2026-04-24,PMP,1.204266,805,48178850.16
2026-04-24,POS,1.187056,569,58657848.37
2026-04-24,SBH,1.955699,1172,335724475.84
2026-04-24,THF,2.181890,8013,1202572540.48
2026-04-24,TI2,0.132117,22805,4249747198.27
2026-04-24,TLY,5097.623979,84446,119178263481.08
2026-04-24,VPS,1.452636,12761,5551915464.83
2026-04-24,TZD,2.398647,8008,935306760.59
2026-04-24,TYH,2.139861,7047,1916687365.78
2026-04-24,IVY,5.268250,14964,803821974.47
2026-04-24,IIH,33.334141,24582,2326029737.45
2026-04-24,ICH,2.017038,1529,164328136.43
2026-04-24,HVS,1.571269,10937,2925667633.78
2026-04-24,HRZ,2.274133,7135,510434844.03
2026-04-24,HKM,4.962048,1563,165360802.29
2026-04-24,HGV,5.241987,560,63869238.14
2026-04-24,GO9,2.501429,1799,393846479.08
2026-04-24,FRC,1.696157,410,89896301.92
2026-04-24,DOH,2.092759,5462,992265384.22
2026-04-24,DFI,3.732128,39784,18067001865.14
2026-04-24,DDF,10.980958,593,273707615.46
2026-04-24,DDA,13.810045,1236,256111767.44
2026-04-24,BIH,7.508186,406,748830455.28
2026-04-24,AK3,52.683091,21152,8611881967.60
2026-04-24,AKU,0.948086,17198,1573580897.68
2026-04-22,HGV,5.273284,564,64504107.25
2026-04-22,VPS,1.460760,12362,5377434771.46
2026-04-22,TZD,2.407516,8006,938415493.59
2026-04-22,TYH,2.158975,7075,1941060932.87
2026-04-22,TLY,5099.616212,84328,121821671915.95
2026-04-22,TI2,0.132997,22830,4279724072.92
2026-04-22,THF,2.205171,7597,1156131256.77
2026-04-22,SBH,1.961391,1129,324005416.00
2026-04-22,POS,1.186290,566,57347863.27
2026-04-22,PMP,1.209285,813,48583401.15
2026-04-22,PHE,2.830321,86661,35067835472.59
2026-04-22,PBR,3.753306,32541,12521530757.93
2026-04-22,PBN,1.364408,967,493348134.14
2026-04-22,OMG,1.747420,686,1234970106.70
2026-04-22,NNF,22.626095,22453,3169514549.52
2026-04-22,MTH,1.916652,5013,768817626.40
2026-04-22,KHJ,1.204378,504,16777562.27
2026-04-22,KHA,3.408308,18006,1769989573.02
2026-04-22,IVY,5.230770,14975,798825929.08
2026-04-22,IIH,33.486772,24637,2338986417.40
2026-04-22,ICH,2.017967,1511,157230320.69
2026-04-22,HVS,1.582413,10943,2920079533.89
2026-04-22,HRZ,2.249307,6385,399692168.42
2026-04-22,HKM,5.030326,1550,165181178.02
2026-04-22,GO9,2.528283,1800,404955292.45
2026-04-22,FRC,1.693673,423,91830102.78
2026-04-22,DOH,2.127564,5250,976240302.40
2026-04-22,DFI,3.734612,39835,17865176897.41
2026-04-22,DDF,11.039099,562,262749966.18
2026-04-22,DDA,13.992973,1245,265292085.53
2026-04-22,BIH,7.511867,407,749237421.11
2026-04-22,AK3,52.691871,21110,8591152564.78
2026-04-22,AKU,0.948065,17193,1566915772.62
2026-04-22,ADP,1.386422,22590,4334005053.58
2026-04-21,TYH,2.181364,7078,1978436604.00
2026-04-21,AKU,0.954988,17115,1574433219.62
2026-04-21,AK3,53.315339,20963,8988757102.82
